"Provider_Number","Location","County","Address","City","State","Zip","MailingAddress","MailingCity","MailingState","MailingZip","Email","Phone","LicenseCapacity","Operation_Months","Operation_Days","Hours_Open","Hours_Close","Infant_0_To_12mos","Toddler_13mos_To_2yrs","Preschool_3yrs_To_4yrs","Pre_K_Served","School_Age_5yrs_Plus","Ages_Other_Than_Pre_K_Served","CAPS_Enrolled","Has_Evening_Care","Has_Drop_In_Care","Has_School_Age_Summer_Care","Has_Transport_ToFrom_School","Has_Transport_ToFrom_Home","Has_Cacfp","Accreditation_Status","Program_Type","Provider_Type","Exemption_Category","Available_PreK_Slots","Funded_PreK_Slots","QR_Participant","QR_Rated","QR_Rating","Region","IsTemporarilyClosed","TemporaryClosure_StartDate","TemporaryClosure_EndDate","CurrentProgramStatus"
"EX-54999"," 21st Century CLC Groves HS","Chatham","201 Rommel Ave","Savannah","GA","31408","201 Rommel Ave","Savannah","GA","31408","marlyn.westbrook@sccpss.com","(912) 395-2520","","JAN,FEB,MAR,APR,MAY,JUN,SEP,OCT,NOV,DEC","MO,TU,WE,TH","2:45 PM","5:45 PM","False","False","False","False","False","False","False","False","False","False","False","False","False","","Exempt Only","EXMT","Government","N/A","","False","False","","SE","False","","","Open"
"CCLC-1193"," Cornerstone Childcare Inc","Bartow","360 Old Mill Rd.","Cartersville","GA","30120","PO Box 2468","Cartersville","GA","30120","classactcc@gmail.com","(770) 386-8865","125","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","7:00 AM","5:30 PM","True","True","True","False","True","True","False","False","True","True","True","False","True","","Child Care Learning Center","CCLC","","N/A","","True","False","","NW","False","","","Open"
"EX-62247"," Dekalb County School Nutrition Services - Idlewood  ES ","DeKalb","1484 Idlewood Road","Tucker","GA","30084","1484 Idlewood Road","Tucker","GA","30084","Connie_R_Walker@dekalbschoolsga.org","(678) 874-3202","","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,OtherSchoolBreak","MO,TU,WE,TH,FR,SA,SU","4:00 PM","6:00 PM","False","False","False","False","False","False","False","False","False","False","False","False","False","","Exempt Only","EXMT","Government","N/A","","False","False","","CE","False","","","Open"
"EX-62249"," Dekalb County School Nutrition Services - Indian Creek ES ","DeKalb","724 North Indian Creek Drive","Clarkston","GA","30021","724 North Indian Creek Drive","Clarkston","GA","30021","Connie_R_Walker@dekalbschoolsga.org","(678) 676-5702","","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,OtherSchoolBreak","MO,TU,WE,TH,FR,SA,SU","4:00 PM","6:00 PM","False","False","False","False","False","False","False","False","False","False","False","False","False","","Exempt Only","EXMT","Government","N/A","","False","False","","CE","False","","","Open"
"EX-57638"," Savannah-Chatham County Public School System_21st Century CLC - Bloomingdale ES","Chatham","101 East Main Street ","Bloomingdale","GA","31302","101 East Main Street ","Bloomingdale","GA","31302","tanis.hall@sccpss.com","(912) 395-3680","","JAN,FEB,MAR,APR,MAY,JUN,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR,SA","4:30 PM","6:45 PM","False","False","False","False","False","False","False","False","False","False","False","False","False","SACS","Exempt Only","EXMT","Government","N/A","","False","False","","SE","False","","","Open"
"CCLC-28747","""In His Arms"" Educational Center","Chatham","7816 Hwy 80 East","Savannah","GA","31410","7816 Hwy 80 East","Savannah","GA","31410","lipski@aol.com","(912) 897-6826","103","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:30 AM","6:30 PM","True","True","True","True","True","True","True","False","False","True","True","False","False","","Child Care Learning Center","CCLC","","2","20","True","True","1","SE","False","","","Open"
"CCLC-62858","1 Little Meal Community Childcare & Learning Cente","Bartow","412  Stonewall STREET","Cartersville","GA","30120","412  Stonewall STREET","Cartersville","GA","30120","1littlemeal@gmail.com","(770) 334-8028","26","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR,SA,SU","7:00 AM","11:59 PM","True","True","True","False","True","True","True","False","True","False","False","False","True","","Child Care Learning Center","CCLC","","N/A","","True","True","1","NW","False","","","Open"
"CCLC-38436","1 Love Childcare & Learning Center","Screven","485 East Frontage Road","Sylvania","GA","30467","PO Box 788","Sylvania","GA","30467","childcare1Love@yahoo.com","(912) 564-2273","43","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","5:45 AM","5:00 PM","True","True","True","False","True","True","True","False","False","False","False","False","True","","Child Care Learning Center","CCLC","","N/A","","True","True","3","SE","False","","","Open"
"CCLC-28408","1st Creative Learning Academy","Gwinnett","5771 Lawrenceville Hwy","Tucker","GA","30084","5771 Lawrenceville Hwy","Tucker","GA","30084","firstcreative@att.net","(770) 935-6500","92","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:00 AM","6:30 PM","True","True","True","True","True","True","True","False","True","True","True","True","True","","Child Care Learning Center","CCLC","","0","20","True","True","1","NE","False","","","Open"
"CCLC-22766","1st Creative Learning Academy #2","Gwinnett","2527 Old Rockbridge Rd.","Norcross","GA","30071","2527 Old Rockbridge Rd.","Norcross","GA","30071","jnjlearning@bellsouth.net","(770) 448-1066","56","JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC","MO,TU,WE,TH,FR","6:30 AM","4:30 PM","False","False","False","True","True","True","True","False","True","True","False","False","True","","Child Care Learning Center","CCLC","","11","40","True","True","3","NE","False","","","Open"
