County,Name,Licensee_Owner,Director,Location_Street1,Location_Street_2,Location_City,Location_State,Location_Zip,Location_Zip_Updated,Latitude,Longitude,Capacity,Age_Range_of_Service,ObjectId
FAYETTE,Mary Queen of the Holy Rosary Preschool,Roman Catholic Diocese ,"Cobb, Stephanie Michelle",605 Hill-n-dale Drive,,Lexington,KY,40503,40503,38.015104,-84.538365,150,TWO_TO_SCHOOL,1
FLEMING,Fleming County Head Start,"Licking Valley Community Action Program, Incorporated","Smith, Shawnda Gail ",Route 11 - Maysville Road,,Flemingsburg,KY,41041,41041,38.432374,-83.741205,163,TWO_TO_SCHOOL TO SCHOOL_AGE,2
BOONE,St. Paul Catholic Preschool,St. Paul Catholic School,"Lemmond, Shelly Lynn",7303 Dixie Highway,,Florence,KY,41042,41042,38.997498,-84.6261,72,TWO_TO_SCHOOL,3
ADAIR,Adair County Head Start,"Lake Cumberland Community Action Agency, Inc.","Southwood, Anne Elizabeth",111 Fairground Street,,Columbia,KY,42728,42728,37.10695,-85.3028,72,TWO_TO_SCHOOL,4
FAYETTE,YMCA Southern Middle,"Young Men's Christian Association Of Central Kentucky, Inc.","Berry, Jessica Denise",400 Wilson Downing,,Lexington,KY,40517,40517,37.97912,-84.50964,75,SCHOOL_AGE,5
FAYETTE,Kids 'R' Kids School of Quality Learning,"School Bells 2, Llc","Tressler, Lindsay",3271 Beaumont Centre Circle,,Lexington,KY,40513,40513,38.015514,-84.559395,251,INFANT TO SCHOOL_AGE,6
FLEMING,Mignon Rucker Day Care,Mignon Ann Rucker,"Rucker, Mignon Ann",523 Foxspring Avenue,,Flemingsburg,KY,41041,41041,38.42448,-83.72765,12,INFANT TO SCHOOL_AGE,7
FAYETTE,Kidz Konnection II,"Kidz Konnection, Inc.","Ferrier, Margra Sherlon","1020 Industry Road, Suite 26",,Lexington,KY,40505,40505,38.043278,-84.460304,112,INFANT TO SCHOOL_AGE,8
FLEMING,Lil Rays of Sunshine,Amy Danielle Graff,"Graff, Amy Danielle",114 Russell Street,,Flemingsburg,KY,41041,41041,38.43258,-83.74029,12,INFANT TO SCHOOL_AGE,9
BOONE,"Children, Inc. Extended Education at Kelly Elementary","Children, Inc.","Bricking, Renee",6775 McVillle Rd.,,Burlington,KY,41005,41005,38.98359,-84.826195,36,SCHOOL_AGE,10
