county,children_under_2,infant_slots,ratio
Bernalillo,13090,5222,0.4
Catron,8,2,0.26
Chaves,1451,444,0.31
Cibola,554,103,0.19
Colfax,208,14,0.07
Curry,1474,501,0.34
De Baca,53,2,0.04
Dona Ana,4898,2341,0.48
Eddy,1636,191,0.12
Grant,483,195,0.4
Guadalupe,86,28,0.32
Harding,8,0,0.0
Hidalgo,94,24,0.25
Lea,2216,465,0.21
Lincoln,313,68,0.22
Los Alamos,348,223,0.64
Luna,703,128,0.18
McKinley,1654,337,0.2
Mora,38,16,0.42
Otero,1678,421,0.25
Quay,93,48,0.52
Rio Arriba,713,139,0.2
Roosevelt,463,167,0.36
San Juan,2878,689,0.24
San Miguel,2677,122,0.05
Sandoval,449,660,1.47
Santa Fe,2330,408,0.18
Sierra,146,39,0.27
Socorro,269,93,0.35
Taos,438,134,0.31
Torrance,285,67,0.23
Union,133,0,0.0
Valencia,1806,459,0.25
