"dcid","permit_number","program_name","facility_type","program_type","address","borough","zipcode","phone","age_range","capacity","administer_medication","bin","bbl","community_board","council_district","census_tract","nta_code","latitude","longitude"
"DC1000","2165","BILLY MARTIN CHILD DEVELOPMENT CENTER","GCC","PRESCHOOL","333 CLASSON AVENUE","BROOKLYN","11205","(718) 857-5630","2 YEARS - 5 YEARS","70","No","3321871","3019380001","303","36","023300","BK75","40.689761024835","-73.960169193605"
"DC1021","4135","NUESTROS NINOS DAY CAR 1","GCC","PRESCHOOL","384 SOUTH 4 STREET","BROOKLYN","11211","(718) 963-1555","2 YEARS - 5 YEARS","142","No","3063507","3024510008","301","34","052700","BK73","40.708076719582","-73.952515190258"
"DC10244","6700","BIRCH FAMILY SERVICES","GCC","PRESCHOOL","10-24 49 AVENUE","QUEENS","11101","(718) 786-1104","2 YEARS - 5 YEARS","114","Yes","4436607","4000420011","402","26","000700","QN31","40.743273146468","-73.953204552663"
"DC1030","6767","PHIPPS NEIGHBORHOODS, INC.","GCC","PRESCHOOL","921 EAST 180 STREET","BRONX","10460","(917) 243-7145","2 YEARS - 5 YEARS","54","No","2114117","2031280001","206","15","036300","BX17","40.844491832205","-73.881471864462"
"DC10454","3050","THE CHILD DEVELOPMENT CENTER OF KINGSBOROUGH COMMUNITY COLLEGE","GCC","PRESCHOOL","1915 ORIENTAL BOULEVARD","BROOKLYN","11235","(718) 368-5439","2 YEARS - 5 YEARS","38","No","3326936","3087600060","315","48","061600","BK17","40.578489925307","-73.935321084959"
"DC10455","7290","STEPPING STONES","GCC","PRESCHOOL","245 86 STREET","BROOKLYN","11209","(718) 630-1000","2 YEARS - 5 YEARS","37","No","3153095","3060330065","310","47","006200","BK31","40.623803550206","-74.032492980481"
"DC10457","7346","CHABAD LUBAVITCH OF WEST BRIGHTON-MANHATTAN BEACH CORP.","GCC","PRESCHOOL","2997 OCEAN PARKWAY","BROOKLYN","11235","(718) 946-9833","2 YEARS - 5 YEARS","22","No","3244597","3086690088","313","48","036200","BK19","40.577405887117","-73.968267640275"
"DC10465","7501","ANGEL STAR DAY CARE CENTER","GCC","PRESCHOOL","6803 20 AVENUE","BROOKLYN","11204","(718) 331-7282","2 YEARS - 5 YEARS","19","No","3135073","3055790009","311","43","025800","BK28","40.614697563586","-73.987739361729"
"DC10478","7359","QSAC","GCC","PRESCHOOL","245-37 60 AVENUE","QUEENS","11362","(718) 728-8476","2 YEARS - 5 YEARS","154","No","4171740","4082760559","411","23","152901","QN45","40.75715248756","-73.73224202544"
"DC10479","4506","JACK & JILL","GCC","PRESCHOOL","43-23 COLDEN STREET","QUEENS","11355","(718) 762-1218","2 YEARS - 5 YEARS","132","No","4115898","4051370005","407","20","079701","QN22","40.752528063432","-73.824980649035"
"DC10481","7571","ABC KIDDIELAND, INC","GCC","PRESCHOOL","65-21 ROOSEVELT AVE","QUEENS","11377","(718) 651-3551","2 YEARS - 5 YEARS","39","No","4028089","4012230026","402","26","026300","QN63","40.746135998716","-73.898201869412"
"DC10483","7358","OUR LITTLE ANGELS CORP","GCC","PRESCHOOL","86-29 COMMONWEALTH BLVD","QUEENS","11426","(718) 347-7377","2 YEARS - 5 YEARS","33","No","4175963","4086270001","413","23","161700","QN43","40.730578929923","-73.720160924154"
"DC32177","103889","Pache Montessori, LLC","GCC","INFANT TODDLER","292 COURT STREET","BROOKLYN","11231","(718) 208-4665","0 YEARS - 2 YEARS","31","No","3004040","3003260058","306","39","006700","BK33","40.684130071812","-73.995053120397"
"DC1049","N/A","YESHIVA OF KINGS BAY PRESCHOOL","SBCC","PRESCHOOL","2611 AVENUE Z","BROOKLYN","11235","(718) 646-8500","3 YEARS - 5 YEARS","NO DATA","No","3204595","3074420011","315","48","059600","BK17","40.589171437517","-73.943404514259"
"DC10500","5795","TOLENTINE  ZEISER  COMMUNITY LIFE CENTER, INC","GCC","PRESCHOOL","2340 ANDREWS AVENUE","BRONX","10468","(718) 933-6935","2 YEARS - 5 YEARS","121","No","2094684","2032180035","207","14","025500","BX30","40.862276166853","-73.90658804223"
"DC1051","N/A","BETH CHANA SCHOOL","SBCC","PRESCHOOL","620 BEDFORD AVENUE","BROOKLYN","11249","(718) 802-1613","3 YEARS - 5 YEARS","NO DATA","No","3060300","3022040039","301","33","053700","BK72","40.702710647124","-73.959555516765"
"DC10514","6808","NUESTROS NINOS DAY CARE CENTER III","GCC","PRESCHOOL","161 SOUTH 3 STREET","BROOKLYN","11211","(718) 388-5000","2 YEARS - 5 YEARS","35","No","3063127","3024180031","301","34","055100","BK73","40.712098388054","-73.96137139243"
"DC10518","6083","FAMILY HEALTH CENTERS AT NYU LANGONE","GCC","INFANT TODDLER","230 60 STREET","BROOKLYN","11220","(718) 439-0450","0 YEARS - 2 YEARS","42","No","3143322","3057800006","307","38","002200","BK32","40.642983844348","-74.021994942641"
"DC26141","103890","Pache Montessori, LLC","GCC","PRESCHOOL","292 COURT STREET","BROOKLYN","11231","(718) 208-4665","2 YEARS - 5 YEARS","126","No","3004040","3003260058","306","39","006700","BK33","40.684130071812","-73.995053120397"
"DC10549","7626","MAZEL - F.R.E.E.","GCC","PRESCHOOL","2901 BRIGHTON 6 STREET","BROOKLYN","11235","(718) 368-4490","2 YEARS - 5 YEARS","75","No","3326862","3086660652","313","48","036400","BK19","40.581255175243","-73.962786570236"
"DC10551","6916","CYPRESS HILLS CHILD CARE CENTER CORPORATION","GCC","PRESCHOOL","108 PINE STREET","BROOKLYN","11208","(718) 647-5005","2 YEARS - 5 YEARS","74","No","3327214","3041290008","305","37","117602","BK83","40.684062996333","-73.873385925946"
"DC1056","N/A","PRESCHOOL","SBCC","PRESCHOOL","1169 43 STREET","BROOKLYN","11219","(718) 435-5111","3 YEARS - 5 YEARS","NO DATA","No","3135866","3055970053","312","44","022400","BK88","40.640273814085","-73.991741423202"
"DC10568","6842","ROGERS' DAY CARE","GCC","PRESCHOOL","775 ROGERS AVENUE","BROOKLYN","11226","(718) 703-4312","2 YEARS - 5 YEARS","51","No","3116809","3050880006","317","40","082000","BK60","40.652031184408","-73.952605688253"
"DC37277","104557","G & T Childcare Corp.","GCC","PRESCHOOL","775 50TH ST","BROOKLYN","11220","(718) 858-6886","2 YEARS - 5 YEARS","104","No","3424561","3007860049","307","43","010800","BK34","40.641443309963","-74.004248269348"
"DC1058","N/A","SCHOOL BASED CHILD CARE","SBCC","PRESCHOOL","212 WILLIAMSBURG STREET EAST","BROOKLYN","11211","(718) 963-9288","3 YEARS - 5 YEARS","NO DATA","No","3060136","3021940019","301","33","053300","BK72","40.705490706334","-73.958453762516"
"DC10582","6198","GOOD SAMARITAN FULTON DAY CARE CENTER-PRESCHOOL","GCC","PRESCHOOL","992 GATES AVENUE","BROOKLYN","11221","(718) 443-6463","2 YEARS - 5 YEARS","23","No","3039623","3014800002","303","41","037500","BK35","40.689292399799","-73.923685196693"
"DC10592","6826","STEP BY STEP EARLY CHILDHOOD CENTER, INC.","GCC","PRESCHOOL","1163 LENOX ROAD","BROOKLYN","11212","(718) 922-6366","2 YEARS - 5 YEARS","68","No","3101285","3046520040","317","41","089000","BK96","40.659897156386","-73.917663757718"
"DC10599","7123","CANDY KIDS DAY CARE CENTER, LLC","GCC","INFANT TODDLER","3212 CHURCH AVENUE","BROOKLYN","11226","(718) 287-6200","0 YEARS - 2 YEARS","14","No","3109326","3048860005","317","40","082400","BK95","40.650895329521","-73.947424241131"
"DC1060","N/A","BAIS YAAKOV D'CHASSIDEI GUR/UPK","SBCC","PRESCHOOL","1975 51 STREET","BROOKLYN","11204","(718) 833-8560","3 YEARS - 5 YEARS","NO DATA","No","3129528","3054620045","312","44","046400","BK88","40.624643195387","-73.977946282024"
"DC10600","7249","TUTOR TIME LEARNING CENTERS, LLC.","GCC","PRESCHOOL","7817-25 3 AVENUE","BROOKLYN","11209","(718) 680-6566","2 YEARS - 5 YEARS","32","No","3150280","3059690001","310","47","006400","BK31","40.62909375043","-74.028745246123"
"DC10659","1448","BROOKLYN COLLEGE CHILD CARE SERVICES, INC.","GCC","PRESCHOOL","2900 BEDFORD AVENUE","BROOKLYN","11210","(718) 951-5431","2 YEARS - 5 YEARS","55","No","3347326","3075520100","314","45","077200","BK42","40.631752761677","-73.952666980781"
"DC10665","7231","TENDER YEAR CHILDCARE, INC.","GCC","INFANT TODDLER","3141 EAST TREMONT AVENUE","BRONX","10461","(718) 829-3067","0 YEARS - 2 YEARS","8","No","2073698","2053560001","210","13","018400","BX52","40.837838456075","-73.834700991129"
"DC1068","N/A","BAIS YAAKOV OF 18 AVENUE","SBCC","PRESCHOOL","4419 18 AVENUE","BROOKLYN","11204","(718) 663-6050","3 YEARS - 5 YEARS","NO DATA","No","3128727","3054390035","312","44","047600","BK88","40.630481302099","-73.977699362588"
"DC10724","5498","AUXILIARY ENTERPRISE BOARD OF NEW YORK CITY COLLEGE OF TECHNOLOGY, INC.","GCC","PRESCHOOL","300 JAY STREET","BROOKLYN","11201","(718) 260-5192","2 YEARS - 5 YEARS","20","No","3335892","3001280001","302","33","001300","BK38","40.695558694229","-73.98714022723"
"DC10727","5734","THE CHILDREN'S CENTER AT SUNY BROOKLYN","GCC","INFANT TODDLER","440 LENOX ROAD","BROOKLYN","11203","(718) 221-6160","0 YEARS - 2 YEARS","18","No","3108105","3048560012","317","40","081600","BK91","40.654492354897","-73.944494955495"
"DC10732","7056","IMAGINE EARLY LEARNING CENTERS, LLC","GCC","PRESCHOOL","50 MONROE PLACE","BROOKLYN","11201","(718) 624-7520","2 YEARS - 5 YEARS","66","No","3001917","3002380007","302","33","000502","BK09","40.695710153787","-73.99283082263"
"DC10735","7093","LIBERTY DAY CARE SERVICE, INC.","GCC","PRESCHOOL","478 EAST 95 STREET","BROOKLYN","11212","(718) 498-4384","2 YEARS - 5 YEARS","32","No","3102590","3046910028","317","41","088800","BK96","40.655837248133","-73.91713899038"
"DC1075","N/A","MASORES BAIS YAAKOV PRESCHOOL","SBCC","PRESCHOOL","1395 OCEAN AVENUE","BROOKLYN","11230","(718) 692-2424","3 YEARS - 5 YEARS","NO DATA","No","3206224","3075660006","314","45","077200","BK42","40.628317955355","-73.956877229126"
"DC10751","7331","PROSPECT KIDS ACADEMY, INC.","GCC","PRESCHOOL","341 PROSPECT AVENUE","BROOKLYN","11215","(718) 788-7727","2 YEARS - 5 YEARS","25","No","3024295","3010550045","307","39","014900","BK37","40.662039486836","-73.987060208514"
"DC10752","7318","CLARKSON EARLY CHILDHOOD  CENTER","GCC","PRESCHOOL","8801 GLENWOOD ROAD","BROOKLYN","11236","(718) 649-3488","2 YEARS - 5 YEARS","33","No","3224067","3079930008","318","46","096400","BK50","40.640839088285","-73.909017942863"
"DC10755","5800","NATIONAL ASSOCIATION OF FAMILY DEVELOPMENT CENTERS, INC.","GCC","PRESCHOOL","8885 26 AVENUE","BROOKLYN","11214","(718) 265-2359","2 YEARS - 5 YEARS","69","No","3187110","3069100017","313","47","031400","BK26","40.590837438863","-73.99101665095"
"DC10762","4196","SHIRLEY CHISHOLM DAY CARE CENTER  #1","GCC","INFANT TODDLER","2023 PACIFIC STREET","BROOKLYN","11233","(718) 756-1721","0 YEARS - 2 YEARS","18","No","3038522","3014310054","316","41","030300","BK79","40.676099413359","-73.921328154299"
"DC1077","N/A","YESHIVA RABBI CHAIM BERLIN","SBCC","PRESCHOOL","1310 AVENUE I","BROOKLYN","11230","(718) 377-0777","3 YEARS - 5 YEARS","NO DATA","No","3179556","3067060001","314","44","053000","BK43","40.627373305723","-73.963495670542"
"DC1078","N/A","MOSDOS CHASIDEI SQUARE","SBCC","PRESCHOOL","105 HEYWARD STREET","BROOKLYN","11206","(718) 852-0502","3 YEARS - 5 YEARS","NO DATA","No","3335318","3022250050","301","33","053300","BK72","40.701424987082","-73.956530415384"
"DC37162","104587","MY LITTLE FOOTPRINTS DAYCARE CORP.","GCC","PRESCHOOL","100-03 39  AVENUE","QUEENS","11368","(718) 476-8030","2 YEARS - 5 YEARS","36","No","4536914","4017667501","403","21","040700","QN26","40.74996419547","-73.865489629143"
"DC1080","N/A","MOSDOS CHASIDEI SQUARE","SBCC","PRESCHOOL","1373 43 STREET","BROOKLYN","11219","(718) 436-2550","3 YEARS - 5 YEARS","NO DATA","No","3135954","3055990042","312","44","023200","BK88","40.637501161911","-73.987155061813"
"DC10824","7445","FAMILY HEALTH CENTERS AT NYU LANGONE","GCC","INFANT TODDLER","343 WARREN STREET","BROOKLYN","11201","(718) 237-9578","0 YEARS - 2 YEARS","30","No","3006144","3003910056","302","39","006900","BK38","40.685030050268","-73.990253938229"
"DC10865","N/A","ADELPHI ACADEMY OF BROOKLYN","SBCC","PRESCHOOL","8515 RIDGE BLVD","BROOKLYN","11209","(718) 238-3308","2 YEARS - 5 YEARS","15","No","3328998","3060330001","310","47","006200","BK31","40.624739240291","-74.033469681894"
"DC10875","6006","BLOCK INSTITUTE SCHOOL","GCC","PRESCHOOL","376 BAY 44 STREET","BROOKLYN","11214","(718) 906-5400","2 YEARS - 5 YEARS","228","No","3187874","3069440085","313","47","031400","BK26","40.587516434532","-73.99388298674"
"DC40663","105559","LUMINOUS EARLY CHILD CARE CENTER","GCC","PRESCHOOL","924 TELLER AVENUE","BRONX","10451","(718) 298-3930","2 YEARS - 5 YEARS","133","No","2001985","2024220064","204","16","017300","BX14","40.82635165156","-73.91540462106"
