county,children_2019_mean,families_2019_mean
ROS,37875,21894
NYC,67515,40938
NYS Total,105390,62831
Albany,1122,695
Allegany,65,35
Broome,774,468
Cattaraugus,237,143
Cayuga,300,168
Chautauqua,606,358
Chemung,611,343
Chenango,76,40
Clinton,136,86
Columbia,76,48
Cortland,113,66
Delaware,90,43
Dutchess,737,449
Erie,3985,2201
Essex,67,35
Franklin,170,88
Fulton,46,27
Genesee,111,62
Greene,42,26
Hamilton,1,1
Herkimer,131,75
Jefferson,259,165
Lewis,30,17
Livingston,208,111
Madison,109,65
Monroe,6247,3383
Montgomery,105,58
Nassau,4760,3020
Niagara,319,165
Oneida,1377,648
Onondaga,3123,1743
Ontario,266,160
Orange,803,465
Orleans,131,76
Oswego,345,192
Otsego,88,57
Putnam,47,33
Rensselaer,574,354
Rockland,810,471
Saint Lawrence,245,142
Saratoga,314,189
Schenectady,916,530
Schoharie,55,33
Schuyler,74,41
Seneca,47,24
Steuben,428,245
Suffolk,2738,1571
Sullivan,134,87
Tioga,188,113
Tompkins,229,139
Ulster,399,227
Warren,139,88
Washington,104,60
Wayne,184,115
Westchester,2491,1594
Wyoming,51,32
Yates,42,24
