region,measure,modality,year,value
Statewide,providers,DCC,2015,4313
Statewide,providers,DCC,2016,4282
Statewide,providers,DCC,2017,4306
Statewide,providers,DCC,2018,4289
Statewide,providers,DCC,2019,4290
Statewide,providers,DCC,2025,4349
Statewide,providers,SACC,2019,2835
Statewide,providers,GFDC,2019,8017
Statewide,providers,GFDC,2025,9353
Statewide,providers,FDC,2019,3370
Statewide,providers,FDC,2025,2304
Statewide,capacity,DCC,2019,313951
Statewide,capacity,DCC,2025,326196
Statewide,capacity,SACC,2019,327578
Statewide,capacity,GFDC,2019,123034
Statewide,capacity,GFDC,2025,144593
Statewide,capacity,FDC,2019,26340
Statewide,capacity,FDC,2025,18148
NYC,providers,DCC,2019,2232
NYC,providers,DCC,2025,2283
NYC,providers,SACC,2019,1563
NYC,providers,GFDC,2019,5245
NYC,providers,GFDC,2025,6168
NYC,providers,FDC,2019,1185
NYC,providers,FDC,2025,681
NYC,capacity,DCC,2019,141027
NYC,capacity,DCC,2025,141091
NYC,capacity,SACC,2019,230030
NYC,capacity,GFDC,2019,79648
NYC,capacity,GFDC,2025,94393
NYC,capacity,FDC,2019,8982
NYC,capacity,FDC,2025,5220
ROS,providers,DCC,2019,2058
ROS,providers,DCC,2025,2066
ROS,providers,SACC,2019,1272
ROS,providers,GFDC,2019,2772
ROS,providers,GFDC,2025,3185
ROS,providers,FDC,2019,2185
ROS,providers,FDC,2025,1623
ROS,capacity,DCC,2019,172924
ROS,capacity,DCC,2025,185105
ROS,capacity,SACC,2019,97548
ROS,capacity,GFDC,2019,43386
ROS,capacity,GFDC,2025,50200
ROS,capacity,FDC,2019,17358
ROS,capacity,FDC,2025,12928
