facility_id,locality,name,facility_type,license_type,capacity,ages,business_hours,administrator,subsidy,license_id
7993,Winchester,"Winchester Day Nursery, Incorporated",Child Day Center,Two Year,58,2 years - 6 years 11 months,"6:30 a.m. - 5:30 p.m., Monday - Friday",Ms. Sue Dyer,Yes,868
7998,Albemarle,"Old Dominion Day School, Inc.",Child Day Center,Two Year,75,1 month - 12 years 11 months,"7:30 a.m. - 5:00 p.m., Monday - Friday",Ms. Theresa Zick,No,965
8000,Winchester,"Fremont Street Nursery, Incorporated",Child Day Center,Two Year,100,1 month - 12 years 11 months,"6:30 a.m. - 5:30 p.m., Monday - Friday",Mrs. Freda Roberson,Yes,981
8001,Charlottesville,"Barrett Early Learning Center, Inc.",Child Day Center,Two Year,60,2 years - 5 years 11 months,"7:30 a.m. - 5:30 p.m., Monday - Friday",Deborah Rogers,Yes,990
8020,Staunton,"Community Child Care, Incorporated",Child Day Center,Two Year,68,2 years - 12 years 11 months,"6:30 a.m. - 6:00 p.m., Monday - Friday",Jayme Justus,Yes,1414
8027,Charlottesville,Westminster Child Care Center,Child Day Center,Two Year,122,1 month - 6 years 11 months,"7:30 a.m. - 5:30 p.m., Monday - Friday",Ms. Melanie Garth,No,1601
8057,Chesterfield,"Chester Child Development and Day Care Center, Inc.",Child Day Center,Two Year,90,1 month - 12 years 11 months,"6:30 a.m. - 6:00 p.m., Monday - Friday",Brianna Arnold,Yes,2593
8058,Henrico,The Jewish Community Center of Richmond,Child Day Center,Two Year,250,2 years - 12 years 11 months,"8:00 AM - 6:00 PM, Monday - Friday",Ms. Donna Peters,No,2623
8059,Henrico,"Jack & Jill School, Inc.",Child Day Center,Two Year,125,2 years 6 months - 12 years 11 months,"7:30 a.m. - 5:30 p.m., Monday - Friday",Pam Brown,No,2631
8060,Henrico,Country Day Care,Child Day Center,Two Year,125,1 month - 12 years 11 months,"7:15 A.M. - 5:45 P.M., Monday - Friday",Annaleen Ignacio-Mclean,Yes,2674
8079,Hanover,Advent Christian Childcare Center,Child Day Center,Two Year,199,2 years - 12 years 11 months,"7:00 AM - 5:45 PM, Monday - Friday",Pamela Dicken,Yes,3506
8089,Henrico,"Little Hearts of Sandston, Virginia, Ltd.",Child Day Center,Two Year,70,1 month - 12 years 11 months,"7:00 AM - 6:00 PM, Monday - Friday",Dawn Henshaw,No,4006
8103,Chesterfield,Bright Bee Academy,Child Day Center,Two Year,194,1 month - 12 years 11 months,"6:30 AM - 6:30 PM, Monday - Friday",Mr. Paul Sarver,Yes,4286
8134,Richmond City,The Friends' Association for Children,Child Day Center,Two Year,100,2 years - 12 years 11 months,"6:00 a.m. - 6:00 p.m., Monday - Friday",Ms. Serenia Remley,Yes,5045
8140,Chesapeake,Providence Baptist Church,Religious Exempt Child Day Center,Exempt,150,2 years 6 months - 12 years VDSS Contact: Kimberly Sampson: (757) 354-7307,"6:30 am - 6:00 pm, Monday - Friday",Mr. Brian Heath,No,5151
8143,Chesapeake,Cedar Road Assembly of God,Religious Exempt Child Day Center,Exempt,210,2 years - 12 years 11 months VDSS Contact: Rene Old: (757) 404-1784,"7:00 am - 6:00 pm, Monday - Friday",Raul Muntean,Yes,5207
8144,Greene,First Bible Baptist Church,Religious Exempt Child Day Center,Exempt,60,2 years - 5 years 11 months VDSS Contact: Beth Orebaugh: (540) 847-9173,"8:15 AM - 3:00 PM, Monday - Friday",Jill Garth,No,5240
8146,Lynchburg,First Presbyterian Church of Lynchburg,Religious Exempt Child Day Center,Exempt,120,1 year - 6 years 11 months VDSS Contact: Krysten Hunt: (804) 335-6724,"7:45 am - 3:15 pm, Monday - Friday",Maria Karalekas,No,5266
8147,Frederick,Lighthouse Baptist Church,Religious Exempt Child Day Center,Exempt,127,1 month - 12 years 11 months VDSS Contact: Kelly Lindsay: (540) 309-2494,"6:30 a.m. - 5:30 p.m., Monday - Friday",Ms. Dorothy Russell,No,5291
8148,Roanoke County,Shenandoah Baptist Church,Religious Exempt Child Day Center,Exempt,68,1 year 11 months - 5 years 11 months VDSS Contact: Shanae Vaughn: (276) 608-4267,"7:50 am - 3:20 pm, Monday - Friday",Annette Jones,No,5304
8153,Chesterfield,Gill Grove Baptist Church,Religious Exempt Child Day Center,Exempt,30,3 years - 11 years 11 months VDSS Contact: Molly Muscat: (804) 588-2367,"7:00 am - 6:00 pm, Monday - Friday",Ms. Gayle Clements,No,5401
8154,Henrico,St. James Baptist Church,Religious Exempt Child Day Center,Exempt,90,2 years 6 months - 12 years 11 months VDSS Contact: Florence Martus: (804) 389-0157,"7:00 am - 6:00 pm, Monday - Friday",Ms. Betina Jackson,Yes,5410
8156,Virginia Beach,Gateway Freewill Baptist Church,Religious Exempt Child Day Center,Exempt,150,1 month - 12 years 11 months VDSS Contact: Trisha Brown: (757) 404-2601,"6:00 am - 5:30 pm, Monday - Friday",Tim Bender,Yes,5436
8159,Chesapeake,"Cathedral of Praise Ministries Virginia, Inc.",Religious Exempt Child Day Center,Exempt,211,Birth - 12 years 11 months VDSS Contact: Rene Old: (757) 404-1784,"6:00 am - 6:00 pm, Monday - Friday",Roberta Jones,No,5461
8161,Spotsylvania,Faith Baptist Church,Religious Exempt Child Day Center,Exempt,200,2 years - 12 years 11 months VDSS Contact: Cindy Horne: (804) 297-4469,"7:00 am - 6:00 pm, Monday - Friday",Ms. Susan Longo,No,5517
8163,Lynchburg,Boonsboro United Methodist Church,Religious Exempt Child Day Center,Exempt,75,2 years - 12 years 11 months VDSS Contact: Krysten Hunt: (804) 335-6724,"6:30 AM - 6:00 PM, Monday - Friday",Ms. Cindy Nance,No,5541
8165,Hampton,Bethel Baptist Church,Religious Exempt Child Day Center,Exempt,40,3 years - 12 years 11 months VDSS Contact: Dwan Bryant: (757) 802-5281,"6:45 a.m. - 5:45 p.m., Monday - Friday",Mr. David Lavoie,No,5568
8166,Fairfax County,Word of Life Assembly of God,Religious Exempt Child Day Center,Exempt,200,1 year 6 months - 4 years 11 months VDSS Contact: Sarah Zirzow: (703) 479-4675,"6:30 a.m. - 6:00 p.m., Monday - Friday",Ms. Tracey Le,Yes,5576
8170,Salem,Lakeside Baptist Church Ministries,Religious Exempt Child Day Center,Exempt,375,1 month - 12 years 11 months VDSS Contact: Nicole Scott: (804) 588-2372,"7:00 am - 6:00 pm, Monday - Friday",Lori Wright,No,5649
8176,Virginia Beach,Tabernacle Independent Baptist Church,Religious Exempt Child Day Center,Exempt,40,3 years - 5 years 11 months VDSS Contact: Trisha Brown: (757) 404-2601,"6:30 am - 6:00 pm, Monday - Friday",Dean E Mcgary,No,"5711 No inspection information available online Disclaimer: A compliance history is in no way a rating for a facility. The online compliance history includes only information after July 1, 2003. In addition, the online compliance history includes information regarding adverse actions that may be the subject of a pending appeal. An adverse action is not final until a provider has exhausted or waived all due process rights. For compliance history prior to July 1, 2003, or information regarding the status of pending adverse actions, please contact the Licensing Inspector listed in the facility's information. The Virginia Department of Social Services (VDSS) is not responsible for any errors in or omissions from the compliance history information. Virginia Quality is a voluntary quality rating and improvement system for early care and education facilities serving children ages birth through pre-K. To find programs participating in Virginia Quality, click here . --> --> Translation Disclaimer --> --> VIRGINIA DEPARTMENT OF SOCIAL SERVICES © 2022 - Commonwealth of Virginia --> Contact Us (804) 726-7000 (Main Agency) (800) 552-3431 (SNAP Hotline) --> --> VDSS Privacy Policy --> Expenses CommonHelp Mission & Strategic Plan TTY/TTD Org Chart Accessibility Civil Rights Contact Us × TTY/TTD (deaf or hard-of-hearing): (800) 828-1120, or 711 © Virginia Department of Social Services (VDSS) Privacy Policy --> --> Top <img src=""/"
8186,Henrico,Tuckaway Child Development Center - West,Child Day Center,Two Year,59,2 years - 12 years 11 months,"7:30 am - 6:00 pm, Monday - Friday",Ms. Ashley Payne,Yes,6327
8191,Richmond City,Westhampton Day School,Child Day Center,Two Year,230,2 years - 12 years 11 months,"7:30 AM - 6:00 PM, Monday - Friday",Ms. Alex Strabley,Yes,6530
8201,Albemarle,"St. Anne's-Belfield, Inc.",Child Day Center,Two Year,125,2 years - 6 years 11 months,"8:00 a.m. - 5:30 p.m., Monday - Friday",Ms. Emily Brown,No,7030
8221,Arlington,Clarendon Child Care Center,Child Day Center,Two Year,58,2 years 6 months - 6 years 11 months,"7:00 am - 6:00 pm, Monday - Friday",Ms. Sandra Redmore,No,10081
8223,Fairfax County,The Country Day School,Child Day Center,Two Year,199,1 year 6 months - 6 years 11 months,"7:50AM - 5:30PM, Monday - Friday",Connie Bates,No,10171
8228,Fairfax County,A Child's Place,Child Day Center,Two Year,125,2 months - 6 years 11 months,"7:00 A.M. - 6:00 P.M., Monday - Friday",Ms. Leigh Bibb,No,10375
8230,Fairfax County,Country Woodland School,Child Day Center,Two Year,87,2 months - 12 years 11 months,"7:00 am - 6:00 pm, Monday - Friday",Ms. Shari Wood,No,10430
8244,Falls Church City,Columbia Baptist Child Development Center,Child Day Center,Two Year,350,1 year 4 months - 12 years 11 months,"8:00am - 5:00pm, Monday - Friday",Daniela Zapta,Yes,10723
8249,Alexandria,Creative Play School I,Child Day Center,Two Year,84,1 year 4 months - 6 years 11 months,"7:00am - 6:00 p.m., monday to friday",Ms. Diane H. Smalley,Yes,10847
