ncessch,state,county_fips,county_name
130000100593,GA,13285,Troup County
130000100596,GA,13285,Troup County
130000100608,GA,13285,Troup County
130000100643,GA,13285,Troup County
130000101706,GA,13285,Troup County
130000101710,GA,13285,Troup County
130000101852,GA,13285,Troup County
130000101853,GA,13285,Troup County
130000101855,GA,13285,Troup County
130000101856,GA,13285,Troup County
130000101962,GA,13285,Troup County
130000101964,GA,13285,Troup County
130000102011,GA,13285,Troup County
130000102443,GA,13285,Troup County
130000102444,GA,13285,Troup County
130000103455,GA,13285,Troup County
130000103620,GA,13285,Troup County
130000103789,GA,13285,Troup County
130000104317,GA,13285,Troup County
130000502626,GA,13031,Bulloch County
130002004326,GA,13185,Lowndes County
130002303482,GA,13077,Coweta County
130002503648,GA,13207,Monroe County
130002603487,GA,13081,Crisp County
130002603488,GA,13245,Richmond County
130002603490,GA,13021,Bibb County
130002603492,GA,13091,Dodge County
130002603498,GA,13245,Richmond County
130002603500,GA,13063,Clayton County
130002603501,GA,13109,Evans County
130002603503,GA,13313,Whitfield County
130002603504,GA,13089,DeKalb County
130002603505,GA,13091,Dodge County
130002603506,GA,13139,Hall County
130002603509,GA,13021,Bibb County
130002603510,GA,13067,Cobb County
130002603511,GA,13115,Floyd County
130002603512,GA,13303,Washington County
130002603513,GA,13051,Chatham County
130002603514,GA,13275,Thomas County
130002603515,GA,13299,Ware County
130002603517,GA,13089,DeKalb County
130002603518,GA,13261,Sumter County
130002603650,GA,13215,Muscogee County
130002603806,GA,13215,Muscogee County
130002604089,GA,13121,Fulton County
130002604141,GA,13247,Rockdale County
130002604194,GA,13009,Baldwin County
130002604269,GA,13273,Terrell County
130002604329,GA,13317,Wilkes County
130002703682,GA,13121,Fulton County
130006000006,GA,13001,Appling County
130006000007,GA,13001,Appling County
130006000008,GA,13001,Appling County
130006000009,GA,13001,Appling County
130006000010,GA,13001,Appling County
130006000011,GA,13001,Appling County
130009000013,GA,13003,Atkinson County
130009000015,GA,13003,Atkinson County
130009001965,GA,13003,Atkinson County
130009003996,GA,13003,Atkinson County
130012000017,GA,13121,Fulton County
130012000022,GA,13121,Fulton County
