SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,GRADE,RACE_ETHNICITY,SEX,STUDENT_COUNT,TOTAL_INDICATOR,DMS_FLAG
2018-2019,21,KENTUCKY,KY,Adair County Primary Center,01,,KY-001001000,2100030,KY-001001000-001001020,210003002345,2102345,Pre-Kindergarten,No Category Codes,No Category Codes,60,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Allen County Primary Center,01,,KY-002005000,2100070,KY-002005000-002005010,210007000008,2100008,Pre-Kindergarten,No Category Codes,No Category Codes,105,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Bremen Elementary School,01,,KY-089445000,2100081,KY-089445000-089445010,210008101072,2101072,Pre-Kindergarten,No Category Codes,No Category Codes,47,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Longest Elementary,01,,KY-089445000,2100081,KY-089445000-089445115,210008101080,2101080,Pre-Kindergarten,No Category Codes,No Category Codes,37,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Central City Elementary,01,,KY-089445000,2100081,KY-089445000-089445030,210008101514,2101514,Pre-Kindergarten,No Category Codes,No Category Codes,60,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Greenville Elementary School,01,,KY-089445000,2100081,KY-089445000-089445040,210008101516,2101516,Pre-Kindergarten,No Category Codes,No Category Codes,60,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Muhlenberg South Elementary,01,,KY-089445000,2100081,KY-089445000-089445012,210008101967,2101967,Pre-Kindergarten,No Category Codes,No Category Codes,57,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Kentucky School for the Deaf,01,,KY-011603000,2100095,KY-011603000-011603390,210009501715,2101715,Pre-Kindergarten,No Category Codes,No Category Codes,2,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Ezra Sparrow Early Childhood Center,01,,KY-003011000,2100120,KY-003011000-003011120,210012001298,2101298,Pre-Kindergarten,No Category Codes,No Category Codes,172,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Ashland Head Start,01,,KY-010012000,2100150,KY-010012000-010012012,210015002023,2102023,Pre-Kindergarten,No Category Codes,No Category Codes,207,Subtotal 4 - By Grade,Reported
2018-2019,21,KENTUCKY,KY,Augusta Independent School,01,,KY-012013000,2100180,KY-012013000-012013011,210018001968,2101968,Pre-Kindergarten,No Category Codes,No Category Codes,15,Subtotal 4 - By Grade,Reported
