NCESSCH,NAME,STREET,CITY,STATE,ZIP,LAT,LON,CNTY
210003000001,Adair County High School,526 Indian Dr,Columbia,KY,42728,37.107655,-85.328236,21001
210003001913,Adair Learning Academy,401 Appleby Dr,Columbia,KY,42728,37.08518,-85.30529,21001
210003001919,Adair County Middle School,322 General John Adair Dr,Columbia,KY,42728,37.103987000000004,-85.324729,21001
210003002021,Adair County Elementary School,870 Indian Dr,Columbia,KY,42728,37.107728,-85.328255,21001
210003002345,Adair County Primary Center,158 Col. Casey Dr,Columbia,KY,42728,37.107162,-85.332453,21001
210007000008,Allen County Primary Center,721 New Gallatin Rd,Scottsville,KY,42164,36.746901,-86.217613,21003
210007000009,James E Bazzell Middle School,201 New Gallatin Rd,Scottsville,KY,42164,36.753235000000004,-86.214658,21003
210007000010,Allen County-Scottsville High School,1545 Bowling Green Rd,Scottsville,KY,42164,36.753723,-86.21738,21003
210007000013,Allen County Intermediate Center,720 Oliver St,Scottsville,KY,42164,36.748855,-86.218165,21003
210007002061,Allen County Career and Technical Center,1585 Bowling Green Road,Scottsville,KY,42164,36.75416,-86.218157,21003
210008101072,Bremen Elementary School,5000 Main St,Bremen,KY,42325,37.361246,-87.22425700000001,21177
210008101080,Longest Elementary,1020 N Main St,Greenville,KY,42345,37.230958,-87.163724,21177
210008101081,Muhlenberg North Middle,1000 N Main St,Greenville,KY,42345,37.22964,-87.165165,21177
210008101514,Central City Elementary,1501 N 2nd St,Central City,KY,42330,37.31895,-87.12867200000001,21177
210008101515,The Renaissance Center,201 Airport Rd,Greenville,KY,42345,37.229067,-87.163566,21177
210008101516,Greenville Elementary School,201 E Main Cross,Greenville,KY,42345,37.204017,-87.174214,21177
210008101517,Muhlenberg South Middle School,200 Pritchett Dr,Greenville,KY,42345,37.198169,-87.173458,21177
210008101967,Muhlenberg South Elementary,2005 US Hwy 431 S,Beechmont,KY,42323,37.189399,-87.03791700000001,21177
210008102081,Green River Education Center,1200 River Rd,Central City,KY,42330,37.316347,-87.115015,21177
210008102139,Muhlenberg County Career & Tech Center,501 Robert Draper Way,Greenville,KY,42345,37.223233,-87.186115,21177
210008102258,Muhlenberg County High School,501 Hwy 189 Bypass,Greenville,KY,42345,37.223233,-87.186115,21177
210009000014,Anchorage Independent Public School,11400 Ridge Rd,Anchorage,KY,40223,38.265545,-85.54370800000001,21111
