grant_Number,program_type,recipient_name,service_location_name,address_line_one,address_line_two,city,state,zip,zip_4,latitude,longitude,county,funded_slots,status,registration_phone_number,service_location_phone_number,program_admin_ID,program_admin_name,program_admin_address_line_one,program_admin_address_line_two,program_admin_city,program_admin_state,program_admin_zip,program_admin_zip_4,program_admin_county
90CI010073,6,navajo_nation_tribal_government_the_az,Shiprock,30 Feet North of Shiprock Chapter House,NA,Shiprock,NM,87420,-1,36.7860374224759,-108.679148798148,San Juan County,17,Open,(928)357-6730 - 2509,(505) 368-1200,200,The Navajo Nation Tribal Government,"Morgan Blvd, 1st Floor, Education Building",NA,Window Rock,AZ,86515,-1,McKinley County
90CI010073,5,navajo_nation_tribal_government_the_az,Tohatchi,1/2 Mile West of Chevron Gas Station,NA,Tohatchi,NM,87325,-1,35.8589039,-108.7614749,McKinley County,19,Open,(928)357-6730 - 2500,(928) 733-2847,000,The Navajo Nation Tribal Government,Hogan Tso Office Complex Suite H,State Highway 264,Window Rock,AZ,86515,-1,McKinley County
90CI010073,5,navajo_nation_tribal_government_the_az,Twin Lakes I,50 Miles East of Twin Lakes Chapter,NA,Yatahey,NM,87375,-1,35.709384543821,-108.77367998728,McKinley County,17,Open,(928)357-6730 - 2500,(505) 735-2392,000,The Navajo Nation Tribal Government,Hogan Tso Office Complex Suite H,State Highway 264,Window Rock,AZ,86515,-1,McKinley County
90CI010073,5,navajo_nation_tribal_government_the_az,Tsayatoh,75 Ft Nnw of Tsayatoh Chapter House,NA,Mentmore,NM,87319,-1,35.5225015019044,-108.92678802209,McKinley County,14,Open,(928)357-6730 - 2500,(505) 905-0537,000,The Navajo Nation Tribal Government,Hogan Tso Office Complex Suite H,State Highway 264,Window Rock,AZ,86515,-1,McKinley County
90CI010073,5,navajo_nation_tribal_government_the_az,Baahaali,"190 Rodeo Rd a, Northwest of Chapter House",NA,Vanderwagen,NM,87326,-1,35.3951919,-108.6503957,McKinley County,27,Open,(928)357-6730 - 2500,(505) 778-5788,000,The Navajo Nation Tribal Government,Hogan Tso Office Complex Suite H,State Highway 264,Window Rock,AZ,86515,-1,McKinley County
90CI010073,5,navajo_nation_tribal_government_the_az,Crownpoint,Navajo Service Route 9 Chaco Blvd and Chapter House Road,NA,Crownpoint,NM,87313,-1,35.6845160960194,-108.147107362747,McKinley County,40,Open,(928)357-6730 - 2500,(505) 786-2029,000,The Navajo Nation Tribal Government,Hogan Tso Office Complex Suite H,State Highway 264,Window Rock,AZ,86515,-1,McKinley County
90CI010073,5,navajo_nation_tribal_government_the_az,Pinedale,5178 Pinedale Loop 50 Ft W of Chapter House,NA,Church Rock,NM,87311,-1,35.6014505270512,-108.432380861719,McKinley County,15,Open,(928)357-6730 - 2500,(505) 786-2208,000,The Navajo Nation Tribal Government,Hogan Tso Office Complex Suite H,State Highway 264,Window Rock,AZ,86515,-1,McKinley County
90CI010073,5,navajo_nation_tribal_government_the_az,Pueblo Pintado,HC 79 Box 3026,NA,Cuba,NM,87013,9607,36.0222403,-106.95837210000002,Sandoval County,10,Closed,(928)357-6730 - 2500,(505) 655-5414,000,The Navajo Nation Tribal Government,Hogan Tso Office Complex Suite H,State Highway 264,Window Rock,AZ,86515,-1,McKinley County
90CI010073,5,navajo_nation_tribal_government_the_az,Red Rock,25 Ft East of Red Rock Chapter House,NA,Gallup,NM,87305,-1,35.4554849278707,-108.757816706082,McKinley County,20,Open,(928)357-6730 - 2500,(505) 905-2436,000,The Navajo Nation Tribal Government,Hogan Tso Office Complex Suite H,State Highway 264,Window Rock,AZ,86515,-1,McKinley County
90CI010073,5,navajo_nation_tribal_government_the_az,Smithlake,150 Ft West of Smith Lake Chapter House,NA,Smith Lake,NM,87365,-1,35.536189087848,-108.136212014433,McKinley County,18,Open,(928)357-6730 - 2500,(505) 786-2147,000,The Navajo Nation Tribal Government,Hogan Tso Office Complex Suite H,State Highway 264,Window Rock,AZ,86515,-1,McKinley County
