State_Abbreviation,County_Name,StudyYear,MCInfant,MCToddler,MCPreschool,_75CInfant,_75CToddler,_75CPreschool,MCInfant_flag,MCToddler_flag,MCPreschool_flag,_75CInfant_flag,_75CToddler_flag,_75CPreschool_flag
GA,Appling County,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Appling County,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Appling County,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Appling County,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Appling County,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Appling County,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Appling County,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Appling County,2015,92.75,88,88,101,96,96.37,3,1,1,3,1,1
GA,Appling County,2016,95,90,90,105,100,100,3,1,1,3,1,1
GA,Appling County,2017,97.25,92,92,109,104,103.63,3,1,1,3,1,1
GA,Appling County,2018,99.5,94,94,113,108,107.26,3,1,1,3,1,1
GA,Appling County,2019,101.75,96,96,117,112,110.88,3,1,1,3,1,1
GA,Appling County,2020,104,98,98,121,116,114.51,3,1,1,3,1,1
GA,Appling County,2021,106.25,100,100,125,120,118.14,3,1,1,1,1,1
GA,Appling County,2022,108.5,102,102,129.3,124,121.77,3,1,1,3,1,1
GA,Atkinson County,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Atkinson County,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Atkinson County,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Atkinson County,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Atkinson County,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Atkinson County,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Atkinson County,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Atkinson County,2015,92.75,88,88,101,96,96.37,3,1,1,3,1,1
GA,Atkinson County,2016,95,90,90,105,100,100,3,1,1,3,1,1
GA,Atkinson County,2017,97.25,92,92,109,104,103.63,3,1,1,3,1,1
GA,Atkinson County,2018,99.5,94,94,113,108,107.26,3,1,1,3,1,1
GA,Atkinson County,2019,101.75,96,96,117,112,110.88,3,1,1,3,1,1
GA,Atkinson County,2020,104,98,98,121,116,114.51,3,1,1,3,1,1
GA,Atkinson County,2021,106.25,100,100,125,120,118.14,3,1,1,1,1,1
GA,Atkinson County,2022,108.5,102,102,129.3,124,121.77,3,1,1,3,1,1
GA,Bacon County,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bacon County,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bacon County,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bacon County,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bacon County,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bacon County,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bacon County,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Bacon County,2015,92.75,88,88,101,96,96.37,3,1,1,3,1,1
GA,Bacon County,2016,95,90,90,105,100,100,3,1,1,3,1,1
GA,Bacon County,2017,97.25,92,92,109,104,103.63,3,1,1,3,1,1
GA,Bacon County,2018,99.5,94,94,113,108,107.26,3,1,1,3,1,1
GA,Bacon County,2019,101.75,96,96,117,112,110.88,3,1,1,3,1,1
GA,Bacon County,2020,104,98,98,121,116,114.51,3,1,1,3,1,1
GA,Bacon County,2021,106.25,100,100,125,120,118.14,3,1,1,1,1,1
GA,Bacon County,2022,108.5,102,102,129.3,124,121.77,3,1,1,3,1,1
GA,Baker County,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Baker County,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Baker County,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Baker County,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Baker County,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Baker County,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Baker County,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Baker County,2015,92.75,88,88,101,96,96.37,3,1,1,3,1,1
GA,Baker County,2016,95,90,90,105,100,100,3,1,1,3,1,1
GA,Baker County,2017,97.25,92,92,109,104,103.63,3,1,1,3,1,1
GA,Baker County,2018,99.5,94,94,113,108,107.26,3,1,1,3,1,1
GA,Baker County,2019,101.75,96,96,117,112,110.88,3,1,1,3,1,1
GA,Baker County,2020,104,98,98,121,116,114.51,3,1,1,3,1,1
GA,Baker County,2021,106.25,100,100,125,120,118.14,3,1,1,1,1,1
GA,Baker County,2022,108.5,102,102,129.3,124,121.77,3,1,1,3,1,1
GA,Baldwin County,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Baldwin County,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Baldwin County,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Baldwin County,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Baldwin County,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Baldwin County,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Baldwin County,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Baldwin County,2015,122,112,113,138.85,132,128.22,3,1,3,3,1,3
GA,Baldwin County,2016,125,115,115,143,135,131.85,3,1,3,3,1,3
GA,Baldwin County,2017,128,118,117,147.15,138,135.48,3,1,3,3,1,3
GA,Baldwin County,2018,131,121,119,151.3,141,139.11,3,1,3,3,1,3
GA,Baldwin County,2019,134,124,121,155.45,144,142.74,3,1,3,3,1,3
GA,Baldwin County,2020,137,127,123,159.6,147,146.37,3,1,3,3,1,3
GA,Baldwin County,2021,140,130,125,163.75,150,150,3,1,3,3,1,3
GA,Baldwin County,2022,143,133,127.65,167.9,153,153.63,3,1,3,3,1,3
GA,Banks County,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Banks County,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Banks County,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Banks County,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Banks County,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Banks County,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Banks County,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Banks County,2015,92.75,88,88,101,96,96.37,3,1,1,3,1,1
GA,Banks County,2016,95,90,90,105,100,100,3,1,1,3,1,1
GA,Banks County,2017,97.25,92,92,109,104,103.63,3,1,1,3,1,1
GA,Banks County,2018,99.5,94,94,113,108,107.26,3,1,1,3,1,1
GA,Banks County,2019,101.75,96,96,117,112,110.88,3,1,1,3,1,1
GA,Banks County,2020,104,98,98,121,116,114.51,3,1,1,3,1,1
