NAME,NESTAB,NAICS2017,state,county
"Warren County, Tennessee",92,6244,47,177
"Washington County, Tennessee",109,6244,47,179
"Weakley County, Tennessee",32,6244,47,183
"Benton County, Tennessee",40,6244,47,005
"Bledsoe County, Tennessee",17,6244,47,007
"Campbell County, Tennessee",47,6244,47,013
"Cannon County, Tennessee",31,6244,47,015
"Houston County, Tennessee",20,6244,47,083
"Maury County, Tennessee",131,6244,47,119
"Polk County, Texas",77,6244,48,373
"Refugio County, Texas",11,6244,48,391
"Van Zandt County, Texas",70,6244,48,467
"Caldwell County, Texas",40,6244,48,055
"Wilbarger County, Texas",16,6244,48,487
"Martin County, Texas",9,6244,48,317
"Reagan County, Texas",12,6244,48,383
"Yoakum County, Texas",7,6244,48,501
"Runnels County, Texas",8,6244,48,399
"Hale County, Texas",44,6244,48,189
"Shelby County, Texas",33,6244,48,419
"Red River County, Texas",20,6244,48,387
"San Jacinto County, Texas",44,6244,48,407
"Sutton County, Texas",6,6244,48,435
"Tom Green County, Texas",153,6244,48,451
"Upshur County, Texas",39,6244,48,459
"Victoria County, Texas",145,6244,48,469
"Waller County, Texas",76,6244,48,473
"Wharton County, Texas",129,6244,48,481
"Wichita County, Texas",157,6244,48,485
"Wilson County, Texas",47,6244,48,493
"Hockley County, Texas",25,6244,48,219
"Marion County, Texas",12,6244,48,315
"Maverick County, Texas",190,6244,48,323
"Midland County, Texas",178,6244,48,329
"Grayson County, Texas",228,6244,48,181
"Live Oak County, Texas",14,6244,48,297
"Llano County, Texas",16,6244,48,299
"Palo Pinto County, Texas",33,6244,48,363
"Fannin County, Texas",34,6244,48,147
"Karnes County, Texas",23,6244,48,255
"DeWitt County, Texas",25,6244,48,123
"Brazos County, Texas",298,6244,48,041
"Callahan County, Texas",15,6244,48,059
"Cass County, Texas",49,6244,48,067
"Gaines County, Texas",21,6244,48,165
"Gregg County, Texas",188,6244,48,183
"Gray County, Texas",23,6244,48,179
"Madison County, Texas",28,6244,48,313
"Lubbock County, Texas",336,6244,48,303
"Jack County, Texas",11,6244,48,237
"Kaufman County, Texas",270,6244,48,257
"Kendall County, Texas",29,6244,48,259
"Bosque County, Texas",17,6244,48,035
"Floyd County, Texas",4,6244,48,153
"Bexar County, Texas",2901,6244,48,029
"Bailey County, Texas",12,6244,48,017
"Chambers County, Texas",58,6244,48,071
"Baylor County, Texas",7,6244,48,023
"Bell County, Texas",625,6244,48,027
"Cameron County, Texas",1194,6244,48,061
"Denton County, Texas",1085,6244,48,121
"Deaf Smith County, Texas",34,6244,48,117
"Galveston County, Texas",543,6244,48,167
"El Paso County, Texas",1496,6244,48,141
"La Salle County, Texas",8,6244,48,283
"Tyler County, Texas",17,6244,48,457
"Uvalde County, Texas",56,6244,48,463
"Wheeler County, Texas",7,6244,48,483
"Bowie County, Texas",133,6244,48,037
"Archer County, Texas",3,6244,48,009
"Brewster County, Texas",7,6244,48,043
"Hidalgo County, Texas",2756,6244,48,215
"Smith County, Texas",299,6244,48,423
"Somervell County, Texas",12,6244,48,425
"Howard County, Texas",33,6244,48,227
"Crockett County, Texas",4,6244,48,105
"Hardin County, Texas",68,6244,48,199
"Haskell County, Texas",10,6244,48,207
"Leon County, Texas",23,6244,48,289
"Mills County, Texas",7,6244,48,333
"Montague County, Texas",23,6244,48,337
"Newton County, Texas",30,6244,48,351
"Panola County, Texas",27,6244,48,365
"Reeves County, Texas",10,6244,48,389
"Sabine County, Texas",10,6244,48,403
"Monroe County, Alabama",58,6244,01,099
"Lawrence County, Alabama",31,6244,01,079
"Lee County, Alabama",275,6244,01,081
"Marion County, Alabama",35,6244,01,093
"Pickens County, Alabama",36,6244,01,107
"Sumter County, Alabama",20,6244,01,119
"Jefferson County, Alabama",836,6244,01,073
"Choctaw County, Alabama",19,6244,01,023
"Franklin County, Alabama",43,6244,01,059
"Marengo County, Alabama",32,6244,01,091
"Russell County, Alabama",147,6244,01,113
"Cherokee County, Alabama",25,6244,01,019
"Covington County, Alabama",49,6244,01,039
"Crenshaw County, Alabama",33,6244,01,041
"Dallas County, Alabama",72,6244,01,047
"Lauderdale County, Alabama",85,6244,01,077
"Lowndes County, Alabama",23,6244,01,085
"Macon County, Alabama",66,6244,01,087
"Limestone County, Alabama",86,6244,01,083
"Shelby County, Alabama",154,6244,01,117
"St. Clair County, Alabama",67,6244,01,115
"Winston County, Alabama",19,6244,01,133
"Baldwin County, Alabama",212,6244,01,003
"Cullman County, Alabama",39,6244,01,043
"Elmore County, Alabama",86,6244,01,051
"Houston County, Alabama",202,6244,01,069
"Jackson County, Alabama",53,6244,01,071
"Talladega County, Alabama",90,6244,01,121
"Tuscaloosa County, Alabama",267,6244,01,125
"Washington County, Alabama",23,6244,01,129
"Clay County, Alabama",11,6244,01,027
"Coffee County, Alabama",40,6244,01,031
"Morgan County, Alabama",114,6244,01,103
"Pike County, Alabama",46,6244,01,109
"Chilton County, Alabama",43,6244,01,021
"Colbert County, Alabama",56,6244,01,033
"Sherburne County, Minnesota",284,6244,27,141
"Wadena County, Minnesota",43,6244,27,159
"Benton County, Minnesota",172,6244,27,009
"Carver County, Minnesota",179,6244,27,019
"Freeborn County, Minnesota",79,6244,27,047
"Itasca County, Minnesota",88,6244,27,061
"McLeod County, Minnesota",105,6244,27,085
"Pope County, Minnesota",48,6244,27,121
"Ramsey County, Minnesota",769,6244,27,123
"Stevens County, Minnesota",36,6244,27,149
"Swift County, Minnesota",35,6244,27,151
"Winona County, Minnesota",114,6244,27,169
"Wabasha County, Minnesota",73,6244,27,157
"Cottonwood County, Minnesota",41,6244,27,033
"Scott County, Minnesota",382,6244,27,139
"Dodge County, Minnesota",85,6244,27,039
"Pipestone County, Minnesota",42,6244,27,117
"Crow Wing County, Minnesota",127,6244,27,035
"Norman County, Minnesota",16,6244,27,107
"Wright County, Minnesota",414,6244,27,171
"Nicollet County, Minnesota",80,6244,27,103
"Douglas County, Minnesota",159,6244,27,041
"Grant County, Minnesota",28,6244,27,051
"Kittson County, Minnesota",18,6244,27,069
"Le Sueur County, Minnesota",81,6244,27,079
"Mahnomen County, Minnesota",16,6244,27,087
"Chisago County, Minnesota",117,6244,27,025
"Redwood County, Minnesota",75,6244,27,127
"Yellow Medicine County, Minnesota",46,6244,27,173
"Todd County, Minnesota",77,6244,27,153
"Beltrami County, Minnesota",158,6244,27,007
"Blue Earth County, Minnesota",173,6244,27,013
"Houston County, Minnesota",67,6244,27,055
"Lac qui Parle County, Minnesota",22,6244,27,073
"Lake of the Woods County, Minnesota",15,6244,27,077
"Otter Tail County, Minnesota",217,6244,27,111
"Waseca County, Minnesota",43,6244,27,161
"St. Louis County, Minnesota",266,6244,27,137
"Anoka County, Minnesota",707,6244,27,003
"Stearns County, Minnesota",529,6244,27,145
"Dakota County, Minnesota",814,6244,27,037
"Lincoln County, Minnesota",25,6244,27,081
"Lyon County, Minnesota",106,6244,27,083
"Marshall County, Minnesota",34,6244,27,089
"Mille Lacs County, Minnesota",59,6244,27,095
"Renville County, Minnesota",38,6244,27,129
"Washington County, Minnesota",524,6244,27,163
"Carlton County, Minnesota",71,6244,27,017
"Cook County, Minnesota",5,6244,27,031
"Kanabec County, Minnesota",33,6244,27,065
"Swisher County, Texas",22,6244,48,437
"Hunt County, Texas",104,6244,48,231
"Camp County, Texas",26,6244,48,063
"Hansford County, Texas",0,6244,48,195
"Guadalupe County, Texas",172,6244,48,187
"Clay County, Texas",9,6244,48,077
"Hill County, Texas",48,6244,48,217
"Limestone County, Texas",29,6244,48,293
"Nacogdoches County, Texas",70,6244,48,347
"Parmer County, Texas",11,6244,48,369
"Parker County, Texas",153,6244,48,367
"Presidio County, Texas",11,6244,48,377
"Val Verde County, Texas",98,6244,48,465
"Ector County, Texas",161,6244,48,135
"Garza County, Texas",6,6244,48,169
"Grimes County, Texas",42,6244,48,185
"Travis County, Texas",1218,6244,48,453
"Collin County, Texas",1317,6244,48,085
"Hays County, Texas",211,6244,48,209
