STATE,COUNTY,STNAME,CTYNAME,TOT_POP
01,001,Alabama,Autauga County,3277
01,003,Alabama,Baldwin County,12039
01,005,Alabama,Barbour County,1309
01,007,Alabama,Bibb County,1246
01,009,Alabama,Blount County,3438
01,011,Alabama,Bullock County,565
01,013,Alabama,Butler County,1100
01,015,Alabama,Calhoun County,6568
01,017,Alabama,Chambers County,1882
01,019,Alabama,Cherokee County,1213
01,021,Alabama,Chilton County,2711
01,023,Alabama,Choctaw County,662
01,025,Alabama,Clarke County,1371
01,027,Alabama,Clay County,700
01,029,Alabama,Cleburne County,897
01,031,Alabama,Coffee County,3195
01,033,Alabama,Colbert County,3133
01,035,Alabama,Conecuh County,640
01,037,Alabama,Coosa County,463
01,039,Alabama,Covington County,2199
01,041,Alabama,Crenshaw County,791
01,043,Alabama,Cullman County,5176
01,045,Alabama,Dale County,3273
01,047,Alabama,Dallas County,2202
01,049,Alabama,DeKalb County,4269
01,051,Alabama,Elmore County,4734
01,053,Alabama,Escambia County,2202
01,055,Alabama,Etowah County,5964
01,057,Alabama,Fayette County,902
01,059,Alabama,Franklin County,2127
01,061,Alabama,Geneva County,1430
01,063,Alabama,Greene County,466
01,065,Alabama,Hale County,990
01,067,Alabama,Henry County,896
01,069,Alabama,Houston County,6631
01,071,Alabama,Jackson County,2777
01,073,Alabama,Jefferson County,42323
01,075,Alabama,Lamar County,784
01,077,Alabama,Lauderdale County,4732
01,079,Alabama,Lawrence County,1834
01,081,Alabama,Lee County,9572
01,083,Alabama,Limestone County,5474
01,085,Alabama,Lowndes County,586
01,087,Alabama,Macon County,875
01,089,Alabama,Madison County,21862
01,091,Alabama,Marengo County,1165
01,093,Alabama,Marion County,1572
01,095,Alabama,Marshall County,6975
01,097,Alabama,Mobile County,27158
01,099,Alabama,Monroe County,1058
01,101,Alabama,Montgomery County,15300
01,103,Alabama,Morgan County,7245
01,105,Alabama,Perry County,507
01,107,Alabama,Pickens County,1026
01,109,Alabama,Pike County,1751
01,111,Alabama,Randolph County,1278
01,113,Alabama,Russell County,4018
01,115,Alabama,St. Clair County,5200
01,117,Alabama,Shelby County,12283
01,119,Alabama,Sumter County,713
01,121,Alabama,Talladega County,4273
01,123,Alabama,Tallapoosa County,2148
01,125,Alabama,Tuscaloosa County,12532
01,127,Alabama,Walker County,3854
01,129,Alabama,Washington County,903
01,131,Alabama,Wilcox County,654
01,133,Alabama,Winston County,1264
02,013,Alaska,Aleutians East Borough,68
02,016,Alaska,Aleutians West Census Area,188
02,020,Alaska,Anchorage Municipality,19958
02,050,Alaska,Bethel Census Area,1976
02,060,Alaska,Bristol Bay Borough,58
02,068,Alaska,Denali Borough,96
02,070,Alaska,Dillingham Census Area,475
02,090,Alaska,Fairbanks North Star Borough,7179
02,100,Alaska,Haines Borough,113
02,105,Alaska,Hoonah-Angoon Census Area,98
02,110,Alaska,Juneau City and Borough,1807
02,122,Alaska,Kenai Peninsula Borough,3483
02,130,Alaska,Ketchikan Gateway Borough,783
02,150,Alaska,Kodiak Island Borough,949
02,158,Alaska,Kusilvak Census Area,1095
02,164,Alaska,Lake and Peninsula Borough,157
02,170,Alaska,Matanuska-Susitna Borough,7356
02,180,Alaska,Nome Census Area,996
02,185,Alaska,North Slope Borough,776
02,188,Alaska,Northwest Arctic Borough,804
02,195,Alaska,Petersburg Borough,175
02,198,Alaska,Prince of Wales-Hyder Census Area,327
02,220,Alaska,Sitka City and Borough,424
02,230,Alaska,Skagway Municipality,56
02,240,Alaska,Southeast Fairbanks Census Area,530
02,261,Alaska,Valdez-Cordova Census Area,616
02,275,Alaska,Wrangell City and Borough,106
02,282,Alaska,Yakutat City and Borough,30
02,290,Alaska,Yukon-Koyukuk Census Area,401
04,001,Arizona,Apache County,4833
04,003,Arizona,Cochise County,7157
04,005,Arizona,Coconino County,7589
04,007,Arizona,Gila County,2821
04,009,Arizona,Graham County,2718
04,011,Arizona,Greenlee County,755
04,012,Arizona,La Paz County,970
04,013,Arizona,Maricopa County,276119
04,015,Arizona,Mohave County,9150
04,017,Arizona,Navajo County,7447
04,019,Arizona,Pima County,57018
04,021,Arizona,Pinal County,25339
04,023,Arizona,Santa Cruz County,3219
04,025,Arizona,Yavapai County,9541
04,027,Arizona,Yuma County,15112
05,001,Arkansas,Arkansas County,1133
05,003,Arkansas,Ashley County,1108
05,005,Arkansas,Baxter County,1903
05,007,Arkansas,Benton County,19390
05,009,Arkansas,Boone County,2252
05,011,Arkansas,Bradley County,646
05,013,Arkansas,Calhoun County,240
05,015,Arkansas,Carroll County,1577
05,017,Arkansas,Chicot County,559
05,019,Arkansas,Clark County,1174
05,021,Arkansas,Clay County,828
05,023,Arkansas,Cleburne County,1118
05,025,Arkansas,Cleveland County,416
05,027,Arkansas,Columbia County,1336
05,029,Arkansas,Conway County,1249
05,031,Arkansas,Craighead County,7760
05,033,Arkansas,Crawford County,4024
05,035,Arkansas,Crittenden County,3700
